date;PBAR_mmHg;PBAR_hpa;PP_mm;TEMP_celc;HR_porc;WS_ms;WD_sexa;PM10_1h_ugm3;PM25_1h_ugm3;SO2_1h_ppb;SO2_1h_ugm3;NO2_1h_ppb;NO2_1h_ugm3
2021-12-13 15:00:00 UTC;;;;;;;;85.3;23.6;;;;
2021-12-13 16:00:00 UTC;;;;;;;;83.6;21.6;;;;
2021-12-13 17:00:00 UTC;;;;;;;;74.3;21.8;;;;
2021-12-13 18:00:00 UTC;;;;;;;;67.4;23.9;;;;
2021-12-13 19:00:00 UTC;;;;;;;;76.9;24.0;;;;
2021-12-13 20:00:00 UTC;;;;;;;;95.3;27.6;;;;
2021-12-13 21:00:00 UTC;;;;;;;;83.5;28.2;;;;
2021-12-13 22:00:00 UTC;;;;;;;;55.4;30.9;;;;
2021-12-13 23:00:00 UTC;;;;;;;;42.2;28.2;;;;
2021-12-14 00:00:00 UTC;;;;;;;;39.7;26.5;;;;
2021-12-14 01:00:00 UTC;;;;;;;;38.8;25.9;;;;
2021-12-14 02:00:00 UTC;;;;;;;;45.9;30.6;;;;
2021-12-14 03:00:00 UTC;;;;;;;;51.1;34.1;;;;
2021-12-14 04:00:00 UTC;;;;;;;;48.1;32.1;;;;
2021-12-14 05:00:00 UTC;;;;;;;;48.9;32.6;;;;
2021-12-14 06:00:00 UTC;;;;;;;;66.4;44.3;;;;
2021-12-14 07:00:00 UTC;;;;;;;;81.4;45.5;;;;
2021-12-14 08:00:00 UTC;;;;;;;;88.5;41.5;;;;
2021-12-14 09:00:00 UTC;;;;;;;;80.9;36.2;;;;
2021-12-14 10:00:00 UTC;;;;;;;;79.1;26.2;;;;
2021-12-14 11:00:00 UTC;;;;;;;;71.5;25.5;;;;
2021-12-14 12:00:00 UTC;;;;;;;;61.1;22.3;;;;
2021-12-14 13:00:00 UTC;;;;;;;;58.8;22.8;;;;
2021-12-14 14:00:00 UTC;;;;;;;;60.2;19.6;;;;
2021-12-14 15:00:00 UTC;;;;;;;;55.5;17.3;;;;
2021-12-14 16:00:00 UTC;;;;;;;;67.6;19.5;;;;
2021-12-14 17:00:00 UTC;;;;;;;;67.5;20.5;;;;
2021-12-14 18:00:00 UTC;;;;;;;;46.8;20.7;;;;
2021-12-14 19:00:00 UTC;;;;;;;;38.7;25.8;;;;
2021-12-14 20:00:00 UTC;;;;;;;;43.0;28.7;;;;
2021-12-14 21:00:00 UTC;;;;;;;;50.6;33.7;;;;
2021-12-14 22:00:00 UTC;;;;;;;;52.4;35.0;;;;
2021-12-14 23:00:00 UTC;;;;;;;;50.4;33.6;;;;
2021-12-15 00:00:00 UTC;;;;;;;;55.1;37.4;;;;
2021-12-15 01:00:00 UTC;;;;;;;;65.3;45.1;;;;
2021-12-15 02:00:00 UTC;;;;;;;;81.5;58.5;;;;
2021-12-15 03:00:00 UTC;;;;;;;;91.8;64.2;;;;
